,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Barnabas A,Barnabas B,Barnabas C,Clement 1 Corinthians A,Clement 1 Corinthians B,Clement 1 Corinthians C,Clement 1 Corinthians D,Diognetus,Iranaeus Martyrdom Polycarp,Paul A,Ignatius A,Ignatius B,Ignatius C
1 Corinthians A,1.0000000000000004,0.2838062199747771,0.06187215982932501,0.09914685088195706,-0.0593308545540585,-0.07159692950424112,0.044272756869785476,0.0011108967254381866,0.10720043545689054,0.012327818529206596,0.12873621047473335,-0.18314753909374776,-0.30979171975513947,0.0816050766479035,-0.07158378024497984,-0.09424640370780181,-0.05356694085723543,-0.07971495933005672,0.0795787674584587,0.1260017700583314,-0.002424049614794113,-0.09550846949708199,-0.13077563326286246,-0.10689599932178623,-0.17656965336460162,-0.1750445321810914,-0.12081090365041658,-0.19846228542440744,-0.10308862336875044,-0.10194381724618615,0.05320817877049107,0.05585365084009804,0.06534931931292969,0.06869004119291629
1 Corinthians B,0.2838062199747771,0.9999999999999989,0.13924893793403928,0.06425633342311395,-0.0624197096420899,-0.003930398717331718,-0.009083543193579343,0.059622322627506,-0.06800943576062206,-0.06366059747008816,0.08016262359529887,-0.05208718577702675,-0.01270114969440586,0.03166405997101952,-0.057527010504372075,-0.13654555209736333,-0.07480889710389163,-0.15785684487189766,-0.06471173713172663,0.07662487566573344,0.06726743296266349,-0.009365763433851218,0.017171596910341754,-0.14340435142672092,-0.15524812200445473,-0.17285152405786058,-0.11587032177217706,-0.18749824939541723,-0.11812463550148952,-0.1333900788211949,0.040229056710961074,0.015959597511395272,-0.0002254217242580444,-0.01708325831923997
1 Corinthians C,0.06187215982932501,0.13924893793403928,0.9999999999999991,-0.05858331933747905,0.026604568321584462,0.005043142233652006,-0.051439835841965736,0.13191277004005997,-0.020870887215937533,-0.07816854304116364,0.09287113717647602,-0.09526585899349445,-0.10675394464219529,0.038808689372005774,-0.12089081652705988,-0.1321062332231395,-0.21034440090970397,-0.22641627595683556,-0.019917422577843562,0.02286002800146112,0.08662940610677099,-0.00502823599588539,-0.03459956691269514,-0.04329350927919651,-0.09159371475725132,-0.06920282736737382,-0.11043155047136707,-0.06979084025440267,0.009514264032864976,-0.1315498563876761,0.06732636312870438,0.059838725348406854,-0.008860214756916623,0.03388574142811608
1 John,0.09914685088195706,0.06425633342311395,-0.05858331933747905,0.9999999999999996,-0.1745818220035865,-0.11781360512229065,0.1103087081694,-0.03316890523480133,-0.007795857573600097,-0.028907511679748213,-0.01735701147462293,-0.04598545880976765,-0.08174087255375796,-0.08399198362775122,-0.022298960101936553,-0.07485187258882198,-0.032279214823914854,-0.03932399200524321,0.006193962380397012,0.1010975469051427,-0.03458777656212696,-0.057574695217544776,-0.12261996965470529,-0.04315253667433726,-0.15959331310210512,-0.0752074276337814,-0.10257577370878336,-0.13029339988934033,-0.04434096398982238,-0.08581354437348948,-0.005467766936875549,-0.04004214315626683,-0.049679505810178555,0.0037714846659505086
1 Peter,-0.0593308545540585,-0.0624197096420899,0.026604568321584462,-0.1745818220035865,1.0000000000000013,0.06450433959754712,0.0671980488862272,0.037678793634807875,0.03513951995747197,0.09160351294999881,-0.012292447096742593,-0.0984403400598532,0.016581526397003003,-0.024270018382696597,-0.19946595491708746,-0.19099204739213366,-0.1768656549312579,-0.1296449219280957,0.02504151566036952,-0.1013880567087923,0.014128957385083678,-0.0578713190566468,-0.03612140055979644,-0.10716131441404671,0.09043072211329695,-0.03808532873574702,-0.009534136437416043,0.03935124051988455,0.05125299637621273,0.032510212643485824,0.10676570417580977,0.03211232828570662,0.06175386593022992,-0.03641003587159292
1 Timothy,-0.07159692950424112,-0.003930398717331718,0.005043142233652006,-0.11781360512229065,0.06450433959754712,1.0000000000000013,-0.057549750567640834,-0.09649065900480205,-0.034486285041739284,-0.012750229389718083,-0.06291611727436223,0.026343923874066786,0.08977771549113076,-0.018944304793419395,-0.07445052248360043,0.002656772295267614,-0.08503506798663979,-0.10665508524638857,-0.012422141396690851,-0.20658554611452212,-0.0334831287299463,-0.07765746651926377,-0.0568848833294808,-0.02613998815829848,-0.011878943300218289,-0.07809418096728435,-0.04307628464884432,0.01833923390316069,0.10000924992967056,-0.012388683847036954,-0.01802348012548422,0.019257941059964985,-0.0012820000708518272,0.05021991793807684
2 Corinthians A,0.044272756869785476,-0.009083543193579343,-0.051439835841965736,0.1103087081694,0.0671980488862272,-0.057549750567640834,1.0000000000000009,0.19169207040365902,0.04104823012833486,0.11295965322564953,-0.024064545528729272,-0.14990248815493357,-0.0722369075583748,-0.10914693314839047,-0.19056112664233998,-0.23309380092056994,-0.2141551635898018,-0.2158372560791854,0.12483512654651344,0.19364155153875928,0.0035764188858311407,-0.039247119182074984,-0.12346739077324317,-0.05829533538077556,-0.08807971418007425,-0.13115727238195202,-0.05273831710129117,0.009194495360674858,-0.03624943790012287,-0.04259556771343911,0.1953711308884808,0.09018039168906784,-0.05159268874916725,0.0024097068594651967
2 Corinthians B,0.0011108967254381866,0.059622322627506,0.13191277004005997,-0.03316890523480133,0.037678793634807875,-0.09649065900480205,0.19169207040365902,1.0000000000000007,0.11995857694956187,0.12390449279720177,0.10225203203094425,-0.09494154482541049,-0.0029020004685668737,0.05007575974252521,-0.2257313945434606,-0.270620432069079,-0.2766251635724737,-0.27195970494054755,0.027643531485644933,0.04116382007031448,0.19610091119707568,-0.053848275935554135,-0.11806903859983513,-0.14456245998424452,-0.054513740549712995,-0.09967965739394985,-0.05345333479309301,0.004180107584218995,-0.04546353201423125,-0.1569327207038884,0.2865832339363864,0.04978918961716547,0.02893786563517838,0.012028015613130306
Colossians,0.10720043545689054,-0.06800943576062206,-0.020870887215937533,-0.007795857573600097,0.03513951995747197,-0.034486285041739284,0.04104823012833486,0.11995857694956187,1.000000000000001,0.4666852861256168,-0.06717154870832151,-0.08256508718999261,-0.12592792999096325,0.03508270145562625,-0.13120684672841454,-0.1308547810908968,-0.09105610766160004,-0.15144252453808132,0.03122309802093909,-0.00017453615578255058,0.06582818931019692,-0.11718961899071058,-0.16698291771029392,-0.06544167775254081,-0.06747440228865113,-0.12600968310895394,-0.07891868686877437,-0.0867681514210156,-0.011292153418838217,-0.10464495423498252,0.10347943032344498,0.11856490894362136,0.09303286099175866,-0.005904676746452588
Ephesians,0.012327818529206596,-0.06366059747008816,-0.07816854304116364,-0.028907511679748213,0.09160351294999881,-0.012750229389718083,0.11295965322564953,0.12390449279720177,0.4666852861256168,0.9999999999999983,-0.07894923232541314,-0.10088688411979503,-0.13448990044190556,-0.1562348386479197,-0.12687611535003,-0.0373145777327572,-0.03423899176739706,-0.08304289269360138,0.07210690235233592,-0.010958687093615017,0.08591239244909457,-0.12970429249819615,-0.1487743551039313,-0.08031977432059455,-0.1007163137620941,-0.11465650388480926,-0.03189389370546573,-0.011063845739468652,-0.11385923434612644,-0.07758888196244282,0.13453915104750716,0.05076657906356476,0.05095292503087632,-0.009362092980045457
