,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Barnabas A,Barnabas B,Barnabas C,Clement 1 Corinthians A,Clement 1 Corinthians B,Clement 1 Corinthians C,Clement 1 Corinthians D,Diognetus,Iranaeus Martyrdom Polycarp,Paul A,Ignatius A,Ignatius B,Ignatius C
1 Corinthians A,1.0000000000000002,0.41204552559793073,0.20225308066815784,0.11228900083457316,-0.007634352828973797,-0.12354949669570328,0.1365001377142686,0.16895799885280297,-0.003629561052941498,-0.04072819804672213,0.11190019077558705,-0.19354453289072954,-0.19493085344834932,0.007198675554608325,-0.11160092802136766,-0.24924289364946278,-0.2470033460459147,-0.19615576460117706,-0.038762770049876646,0.11203432364820971,-0.0704221217642851,-0.10812242013225372,-0.058476620748488216,-0.14675973398178166,-0.15257004742920555,-0.14529033263088817,-0.12888184004820233,-0.22085711133253186,-0.0037255234331957836,-0.04048392664025955,0.013481160230597995,0.03971555196161535,-0.040799075105736646,0.05230723673805804
1 Corinthians B,0.41204552559793073,0.9999999999999999,0.2971405909796891,0.04866519146596576,-0.05993429281017343,-0.003200941264391604,0.08348588068606595,0.1411616013466372,-0.13542573964974416,-0.10999342897661742,0.07003647694503516,-0.19992609228603064,-0.1299741429186999,0.010477541063914785,-0.16848630415967586,-0.2182233484849885,-0.22312005918038,-0.12876203917713222,0.018820968124905284,0.14586807235237068,0.07196338533509726,-0.12948732634874144,0.014240168628896675,-0.20283128901656547,-0.2576461465099943,-0.10473098753595018,-0.12099512067683499,-0.1552164753653575,-0.04353837129971869,-0.1275421758123669,0.03689416880958016,0.011853348294682545,-0.0032613279270983808,0.06004109018021449
1 Corinthians C,0.20225308066815784,0.2971405909796891,1.0000000000000002,-0.037066298963592426,-0.03404761231483474,-0.05006565635741395,0.033806713445635225,0.1516149941900839,0.04766130152025687,-0.13085840788277536,0.11100215709460534,-0.11510066402614567,-0.11455288574341783,0.050164980175058375,-0.11265048706157167,-0.16878295231561924,-0.19800160779581588,-0.19310217756159534,-0.013699705002292223,0.05809457904096828,0.09244351055924499,-0.04705494794256521,0.012125766159699276,-0.10151425908962285,-0.2137275142399959,-0.009690689705236311,-0.16160319780951812,-0.1848951390506162,-0.006933784373418049,-0.11925526162193516,0.0027440218573824672,-0.04473038722085505,-0.13569155239733488,0.013295432454824022
1 John,0.11228900083457316,0.04866519146596576,-0.037066298963592426,1.0000000000000002,-0.03323353043333073,-0.10023675120329585,0.0005554707980425016,-0.02008125081101273,0.04884297859218246,-0.04582106125601889,-0.07442819987233372,-0.0820511470878246,-0.11409405997373978,0.017208758221158766,-0.04602530833737178,-0.06129478536748688,0.071012126503853,0.014766848476432464,-0.1061946829928063,-0.07631285811422195,-0.14629259797856006,0.01296922196547353,0.049277303383053334,-0.013709198196202168,0.06069725831864382,-0.07561145472012677,-0.07019485869823992,-0.06177968036260952,-0.1049076272562946,-0.10398493635502112,-0.10363693502639015,-0.1451168766801837,-0.13430902204477435,-0.11587434105289232
1 Peter,-0.007634352828973797,-0.05993429281017343,-0.03404761231483474,-0.03323353043333073,1.0,-0.017929097790133443,0.029063440762031382,0.05904196379458906,0.08315327775745426,0.13123094355067055,-0.03883777558155655,-0.0626381878568854,0.06837000872870332,0.0909781770667023,-0.11259255192768951,-0.047822309516090934,-0.04087643971349453,-0.15172726331065892,0.029967585428100185,-0.01813490828439234,-0.03792018658694545,-0.053383504649976946,-0.08952225895152911,-0.11739473134138699,0.09138511784337053,-0.15876348804598528,-0.1356296190022159,-0.11569697779506986,-0.07342636991225548,-0.0015775536238666174,0.01671602382355891,0.09013994094703809,-0.09468016362349292,-0.017592415776667158
1 Timothy,-0.12354949669570328,-0.003200941264391604,-0.05006565635741395,-0.10023675120329585,-0.017929097790133443,0.9999999999999997,-0.08664708370809682,-0.03650291960043724,-0.038951677918048384,-0.012871846762756534,-0.0125567216016402,-0.15338145962938834,0.018495699622350356,-0.03449510306841057,-0.01816733785570719,-0.03968414845732197,-0.0006766194949200575,-0.08195947522449912,0.019850137674156026,-0.1621030837198579,-0.024863166876092208,-0.13648560561884016,-0.07455743706872145,-0.0037697058399390323,-0.0635156347199894,-0.03625327555567103,-0.05315568521808026,0.06794637924469003,0.04142351910330707,0.03524137781410348,-0.03137566769053661,0.03896115723977296,0.034477264534037426,0.006111688934306674
2 Corinthians A,0.1365001377142686,0.08348588068606595,0.033806713445635225,0.0005554707980425016,0.029063440762031382,-0.08664708370809682,1.0000000000000007,0.39691065824346855,0.04396249654374328,0.08367768749289832,0.05963960843091974,-0.18518955380360044,-0.10272267437405448,-0.09065239273011698,-0.18915087320841154,-0.23141771164557287,-0.21421507569766554,-0.22660063112109383,0.06281466608863731,0.13100046183113553,0.06580465141530199,0.050934740897016335,-0.1672890880120952,-0.048981078665141946,-0.0894870419634782,-0.19721374252451362,-0.1296885738667448,0.007899197348909771,-0.1367417018153338,-0.1708699729004394,0.3368321885746014,-0.0692719211231288,-0.1297661364309959,-0.07610118133241205
2 Corinthians B,0.16895799885280297,0.1411616013466372,0.1516149941900839,-0.02008125081101273,0.05904196379458906,-0.03650291960043724,0.39691065824346855,0.9999999999999988,0.11811803464706354,0.022498830732327415,0.061976037005836065,-0.13793985886523707,-0.15055329342366702,-0.042119596084253884,-0.1565094314880652,-0.2692544128723044,-0.2487466053925578,-0.22866341688459707,0.09898707977904118,0.2068714576991998,0.04260662613651086,-0.08130483169298194,-0.06278850648235695,-0.13690074874779717,-0.10790757975034997,-0.21355059319500758,-0.229103820334078,-0.0988748103125642,-0.17915517102584616,-0.22712476330788167,0.21393139119222873,-0.04541603041201912,-0.0511489241172461,0.05754955745131679
Colossians,-0.003629561052941498,-0.13542573964974416,0.04766130152025687,0.04884297859218246,0.08315327775745426,-0.038951677918048384,0.04396249654374328,0.11811803464706354,1.0000000000000002,0.39000675940407176,-0.04961344417246677,-0.05967781936091372,-0.15322931207558613,-0.11818698437814042,-0.047582977226373155,-0.0731781459981555,-0.029529182921337802,-0.10019395637439456,-0.0754445416214315,-0.05976212673000375,-0.0689965610105826,-0.14489172878857876,-0.10730169324892362,-0.15514868830255163,-0.015430198173021608,-0.1336364985847034,-0.19494600376055846,-0.18793714709879827,-0.1579005968545887,-0.08671777988222423,0.18728048904347563,0.08703965429156717,0.07367266874639578,0.0006990391867676344
Ephesians,-0.04072819804672213,-0.10999342897661742,-0.13085840788277536,-0.04582106125601889,0.13123094355067055,-0.012871846762756534,0.08367768749289832,0.022498830732327415,0.39000675940407176,1.0,0.029755648033583222,-0.01899086051757006,0.024728638314465125,-0.11707938502474391,-0.1405884207940656,-0.08638506439368619,-0.08026661797832502,-0.0664112814432223,-0.007931238445739742,-0.04823499238148253,0.06603876476358148,-0.05626732665963775,-0.15473058236670184,-0.19927145429682858,0.026729264069555635,-0.0897608881960054,0.04057314601186574,-0.07735531962532859,-0.15794164288463228,-0.08956486887587248,0.1333064843059532,0.03232077673941406,-0.07135846018115052,-0.05069276304534979
