,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Barnabas A,Barnabas B,Barnabas C,Clement 1 Corinthians A,Clement 1 Corinthians B,Clement 1 Corinthians C,Clement 1 Corinthians D,Diognetus,Iranaeus Martyrdom Polycarp,Paul A,Ignatius A,Ignatius B,Ignatius C
1 Corinthians A,1.0,0.38417778842656575,0.2163632586453645,0.10500535258036044,-0.03405713200315915,-0.11017382786002129,0.10133069981900399,0.1148752528218838,0.019909815736880575,-6.642658717095429e-05,0.27942066225684226,-0.21700138634542981,-0.33444257253218024,0.12041035856381137,-0.16239631981354574,-0.25709668635112964,-0.21776026377009144,-0.20553282495875744,0.02269328296308317,0.21662453217325225,0.08393265986455266,-0.1248563496665163,-0.19859276402624637,-0.0676365449241564,-0.266961293832915,-0.1861226992743107,-0.28847222889901264,-0.3021258245348426,-0.11684259404886996,-0.23062535649545757,0.12877378856461852,0.10006166367043716,0.010233250414339597,0.15724625470800205
1 Corinthians B,0.38417778842656575,1.000000000000001,0.3302372901918786,0.030502717391057952,-0.08470095236766603,-0.10240242664100153,0.04316374765166212,0.1553492665212386,-0.12428454914833861,-0.09286073851796142,0.1967332362436066,-0.18305786250989858,-0.12393124355615656,0.14279369453035698,-0.1733844341395286,-0.1969146071851271,-0.14610959717415062,-0.20476466664315843,-0.10827977437920933,0.08099373243218443,0.16457775717142106,-0.042913239145654265,0.027926513617508687,-0.0639140263017403,-0.2466844608286571,-0.2372582687609348,-0.16199883261215783,-0.31257533407741767,-0.05884462846703738,-0.16860898391146187,0.07830861973571271,0.0205291470804353,-0.04879539531852963,0.02378995485112475
1 Corinthians C,0.2163632586453645,0.3302372901918786,1.0000000000000002,-0.09203267940469025,-0.058344982391843665,-0.013600434584183549,0.05685753232663297,0.15683317625358378,0.020230398676299593,-0.02303232440472601,0.08853245098585247,-0.08735044882340814,-0.06171912766418057,0.08247923771459928,-0.13531858492464038,-0.22248689420325782,-0.2483976140733105,-0.21100587556132971,-0.11764549925436205,0.08335895746817429,0.16359393540879164,-0.06047174675843803,0.05440337765173479,-0.06316360270998292,-0.17920312200209212,-0.24114942936129655,-0.1101437378239064,-0.21670449837037695,-0.022710342347658168,-0.21155308465121495,0.03348292126458742,0.03180308827903254,-0.017002481435642845,-0.013319072255153412
1 John,0.10500535258036044,0.030502717391057952,-0.09203267940469025,0.9999999999999999,-0.15899583330841185,-0.16396470449510708,-0.001409188024096211,-0.130393900085989,-0.024117277621883693,-0.08661174695150341,-0.059828364753552736,-0.12533450985562777,-0.14093584929852088,0.009263082338179941,-0.022951609002344216,-0.038477126898751095,0.027952700214585083,0.003880596052984139,0.04291834037581993,0.08254334952736266,-0.1414717343083238,-0.06837097321464991,0.027817381249984965,-0.07763523497951545,-0.09739177069500114,-0.06834035633447975,-0.13547504689623782,-0.08183864810486452,-0.13633793646617332,-0.16163513711415028,-0.031179150887382847,-0.06891661573128001,-0.03546470078550457,-0.01802233834374915
1 Peter,-0.03405713200315915,-0.08470095236766603,-0.058344982391843665,-0.15899583330841185,1.0000000000000004,0.061946165588265066,0.1448605717796332,-0.0027746643218009605,0.1653168467361359,0.16960803164969337,0.06739129705442577,-0.11011639052189874,0.04399952698579141,-0.03132792304475993,-0.19673987887542177,-0.1149454652381742,-0.14804283861025694,-0.20121884955641767,0.035935331769557335,-0.02111740535838601,0.06380419156421048,-0.18810917739296334,-0.12267995280099127,-0.15972218507937952,0.02019502458099435,-0.05934054638986099,-0.0227551160223302,0.01334510625958557,-0.018400787809040614,-0.055894784297672806,0.0649404628440691,0.12610159288804357,0.1164114804935495,-0.010859391858722117
1 Timothy,-0.11017382786002129,-0.10240242664100153,-0.013600434584183549,-0.16396470449510708,0.061946165588265066,0.9999999999999997,-0.10848927299438872,0.006104870707469952,-0.09480887220813683,0.02403265993297239,-0.011975825768252258,-0.01706906952821074,0.18387318058598626,0.05396054132797636,-0.07233610424484091,-0.0488292336616488,-0.11827124284183937,-0.12424510308447634,0.07270128755556628,-0.24908578586128552,-0.001481989350548167,-0.04416599768927757,-0.05347147744012313,-0.07678338893922423,-0.03399594806489445,-0.046424537947918953,0.05925560847050147,0.055388760928151495,0.2175249912470262,-0.006559780568909269,-0.039959852253223606,0.006885744552584382,-0.02877706799720481,-0.006034496626791834
2 Corinthians A,0.10133069981900399,0.04316374765166212,0.05685753232663297,-0.001409188024096211,0.1448605717796332,-0.10848927299438872,0.9999999999999994,0.3253992746836988,0.15831676021240917,0.15382307908857312,0.15796923696423626,-0.1412529326594185,-0.07222169736127615,-0.16885453473320422,-0.28596027854697154,-0.3091234878820436,-0.30770150425812964,-0.2613731708756662,0.09195082417636762,0.11435058101562372,0.05411568164392823,-0.09244608738815115,-0.13884307735166596,-0.04007123152418673,-0.13081787944403325,-0.1771683913422042,-0.0880463253087649,-0.06509068066859142,-0.06145908595944067,-0.1338883475366868,0.2818314288390012,0.12176884791781463,-0.07309461049735679,0.06497268230619598
2 Corinthians B,0.1148752528218838,0.1553492665212386,0.15683317625358378,-0.130393900085989,-0.0027746643218009605,0.006104870707469952,0.3253992746836988,1.0000000000000013,0.09966946660499451,0.09639367374721848,0.12607908883224078,-0.042149365967427105,-0.07319505994833377,0.046645204085163136,-0.2008835281297884,-0.27222566502606216,-0.2776034490218478,-0.23966433773176185,-0.07183604036786831,-0.01955449589816256,0.24466195927080062,-0.07245012350889535,-0.1221080595437333,-0.1360251655530837,-0.14751829745714543,-0.2603350145338322,-0.10909054421218367,-0.09056258987575319,-0.09045440373155578,-0.19606926270119115,0.36812987251670076,0.03597988082494618,0.00353983366924774,0.06579300025742166
Colossians,0.019909815736880575,-0.12428454914833861,0.020230398676299593,-0.024117277621883693,0.1653168467361359,-0.09480887220813683,0.15831676021240917,0.09966946660499451,1.0000000000000007,0.5647272444824147,-0.04623838477731726,-0.18473548574223614,-0.2178857458034109,-0.0467652765191074,-0.19025099103055088,-0.17706818322470852,-0.1334177299362881,-0.17495894665002065,-0.03192370095086999,-0.075163877047525,0.05922904083645076,-0.0695122275488969,-0.18134340649096153,-0.13462474960657184,0.01142254105644301,-0.12639747541677152,-0.06786539001613555,0.0007503726699338974,-0.09162551814552355,-0.15698689839302488,0.2426900022769782,0.13521669528431035,0.09301376732714556,0.019522282977041994
Ephesians,-6.642658717095429e-05,-0.09286073851796142,-0.02303232440472601,-0.08661174695150341,0.16960803164969337,0.02403265993297239,0.15382307908857312,0.09639367374721848,0.5647272444824147,0.9999999999999997,-0.07097510420167437,-0.09157459196930211,-0.13804054059825888,-0.20646419613606745,-0.12864839531220992,-0.14300281119351574,-0.06575420691462239,-0.16319749178347528,0.007255874633533189,-0.10740527394401733,0.07445691052419953,-0.12710977392480866,-0.21368794949554723,-0.08466966548489764,-0.09684595139517096,-0.12409020267148403,-0.017222669864920437,0.012616414652266034,-0.11884786307763401,-0.04004906257389274,0.15186124828997047,0.14009993688014705,-0.002480735620648152,0.014709918327631905
