1 Corinthians,597,686,6831
1 John,71,89,2141
1 Peter,263,271,1680
1 Thessalonians,103,109,1482
1 Timothy,252,271,1592
2 Corinthians,465,540,4478
2 John,11,12,246
2 Peter,179,186,1100
2 Thessalonians,53,60,824
2 Timothy,174,180,1239
3 John,27,30,219
Acts,2173,2745,18451
Colossians,143,147,1583
Ephesians,173,185,2423
Galatians,192,206,2231
Hebrews,702,806,4954
James,225,237,1746
John,707,948,15467
Jude,66,68,459
Luke,1450,1639,19483
Mark,535,586,11100
Matthew,905,1131,18347
Philemon,21,21,336
Philippians,154,159,1630
Revelation,729,1089,9852
Romans,616,692,7112
Titus,103,108,660
